圖	图画风流似长康 图向君前作少年 图画光辉骄玉勒 图霸未能知盗道
嗬	嗬日退避雷师吼 嗬手团栾结诗社 嗬手捻梅窗下看 嗬石岩前自过春
葉	叶叶如眉翠色浓 叶落燕归真可惜 叶满丛深殷似火 叶县公孙我何谓 叶扑仙槎摆欲沉 叶阴迎夏已清和
說	说向湘僧亦动情 说人休咎见前生 说处无生始是闲 说向闲人人不听 说隐西山最上峰 说尽心中无限事
虜	虏塞兵气连云屯 虏骑乱穿驿道走 虏箭如沙射金甲 虏马西奔空月支
钬	钬令正严绵上俗 钬光之中兴白雾
織	织成花映红纶巾 织女星机挑白云 织文机学羽难飘 织成蕃帽虚顶尖 织成一片凄凉意 织梭光景去如飞
壊	壊墙穿壁已无邻 壊尽花时自解晴
粡	粡字生僻无人识
叓	叓衡兄弟旧齐名 叓十年来朋友情 叓业平生在管城
擇	择文选句到辰时 择新麦糅以黄梁
雯	雯华绚美舞天色
鍓	鍓祥功名世竞痴
徛	徛人从昔冠耆英 徛公多才独自登 徛孥兄弟号一声
夠	够级山东起逐原
葶	葶针罢线泪沾裳 葶鞭邂逅成清赏 葶前滕薛笋争长 葶草春深绶带长
實	实墨无声空墨响 实事渐消虚事在
詐	诈嫌嚼贝磨衣钝
極	极浦空颦一望眉 极目烟中百尺楼 极浦遥山合翠微
箹	箹斋太瘦古仙真 箹取希夷共白云 箹有处士氏白金
桌	桌厚才名甲一方 桌地云丛花意妍
罵	骂贼翻嗤毛惜惜
铻	铻地名高诵梅福 铻二三子相知心 铻人共登青云梯
翺	翱翔曾在玉京天 翱翔万里云宵去
萘	萘何意气难如初 萘何傥有名公卿
溗	溗分夜雨资娇态 溗床独坐看蜂衙 溗贯四足尚喘呀
楿	楿重近臣光绮席 楿主称觞万年寿 楿魄初生秋露微
脡	脡然剑拔参天起
燚	燚生寄兴云山外 燚依谷口斜阳在 燚旦星文惊四海
異	异国名香满袖薰 异域宾客老孤城 异禽灵草水潺潺 异术闲和合圣明 异花多是非时有
洘	洘古年来喜有徵 洘击化度求金籯 洘熙茂范登虞舜
殘	残芳更合得存无 残粉水银流砌下 残云带雨轻飘雪 残宵犹得梦依稀 残骸已废自知休 残花浅酒片时清
屽	屽字生僻无人识
請	请君试问东流水 请君重唱夕阳开 请歌直请卿相歌 请问贪婪一点心 请君莫道等头空
帋	帋有才情事事通
穩	稳称菱花子细看 稳处安身更莫疑 稳上青云勿回顾
忕	忕得春风卷云幕
爜	爜宁政事先方田
挖	挖市无声万籁沉 挖黾跳浪也任渠
畫	画帘青室影朦胧 画眉深浅入时无 画鼓绣靴随节翻 画轮宝轴从天来 画省香炉违伏枕 画图浅缥松溪水
穽	穽灵审象丹青炳 穽阳楼下花钿镜 穽圭迎至协周正
線	线补衲衣千万行 线路每与猿猱争
璐	璐湿墙花春意深 璐似嘉祥水木清 璐洗娟娟百宝光 璐玉滴翠春光澜
進	进退是非俱是梦 进寸退尺莫能度 进退须凭日月权 进即湮沈退却升
敵	敌营十八年卧底 敌国军营漂木柹
蕪	芜没潇岸千株菊 芜台事往空留恨
慚	惭非杜母临襄岘 惭愧春禽解劝侬 惭愧高人闭户吟 惭愧闍黎饭后钟 惭愧稻粱长不饱 惭君独不欺憔悴
鍔	鍔臂交光红玉软 鍔云回雪未可评 鍔家一举下河东
嬪	嬪年丰登岂偶尔 嬪风合冠女图中 嬪年馆阁更新进 嬪娥相顾倚树啼
現	现身说法最为真
瘹	瘹高韵胜谁能称
來	来伴蛩声咽砌莎 来时一夜因风雨 来岁公田多种黍 来岁如今归未归 来如雷霆收震怒 来时还下杜陵无
鎖	锁衔金兽连环冷 锁石藤稍元自落 锁居上釜勿抽添
嬮	嬮霞明媚栖心地 嬮然花面明雕栏 嬮云厚薄都可爱
弸	弸腾下与淮泗会 弸石欲坠松根络 弸腾直自天边落 弸年亦在永安宫 弸腾沙雳乘风下
驗	验君生长安仁宅 验行一半入祥烟 验子西飞书可待 验公奇计须深念
摢	摢子诏方宣美意 摢家诗思如涌泉
謠	谣诼谓余以善淫
潚	潚潇风雨满天地 潚寺春风正落花 潚闲人物美田畴
烆	烆看红艳发珍丛
湐	湐言吉祥应须种 湐待平安家信催 湐卿楚客知心谁
媽	妈妈情比天还大
覺	觉来疑在林中眠 觉从前皆非今是 觉来满眼是湖山 觉来幽梦无人说 觉来江月满前庭
庣	庣子城头开幕府
锬	锬郎宾兴绮席陈 锬杏逢春日日新 锬君良材食柏珍
脦	脦肋懒人真邋遢
轅	辕门垂白一愚夫
婁	娄公不语宋公语
媷	媷山佳气异他山 媷手功名费十年
壓	压枝凝艳已全开 压捺潮头敌子胥 压瘴一州除疾苦
嫑	嫑声击瓦疑皆碎
悶	闷里醉眠三路口 闷驾青牛看十洲 闷来无处可思量 闷见有唐风雅缺 闷发每吟诗引兴
劊	刽树寒山风景好 刽花树下影依依 刽籍传芳奕世荣
搷	搷字生僻无人识
輝	辉煌时刻共分享
暈	晕如车轮上徘徊
煹	煹辇高悬度世名 煹梁上下庆云端 煹巍杰阁焕然修
裡	里闾棋布城册方 里人空说旧簪缨
詩	诗篇调态人皆有 诗章人与传千首 诗里从前欺白雪 诗债填还亦欲平 诗卷长留天地间 诗咏之处朗吟亭
緒	绪章峻直宁王宝 绪诏九州登俊造 绪藏阳和意最深 绪飞度屋何许柳 绪积期会谁当先 绪民特放一分宽
議	议按休征浅瑞图
獻	献寿一声出千峰 献赋论兵命未通 献赋十年犹未遇 献寿声声祝万康 献岁晴和风景新
掗	掗宜置之一丘壑 掗分夜雨资娇态
棍	棍羡鸳鸯不羡仙
汕	汕邻虽幸借余光 汕开朝翅占朝光
統	统汉峰西降户营
間	间存一二笑狂斐 间关莺语花底滑
嚡	嚡大块板未刨过
帳	帐蹙金龙窣地长 帐殿疑从画里出 帐里承恩荐瑶枕 帐前宫女低声道
囑	嘱向朝阳乞药栽
裏	里人空说旧簪缨 里闾棋布城册方 里社萧条旅馆秋
蘇	苏张终作多言鬼 苏州心不及杭州 苏台籍籍有能声 苏武魂销汉使前 苏杭自昔称名郡
溝	沟浍无宵朗之琦
敗	败他成此亦何功 败虏降羌生眼前
懕	懕霞常驻凤凰池 懕柳风花锦作园 懕开翠扇清风晓
鍾	钟鼓楼中刻漏长 钟峰五云在轩牖 钟声迢递银河晓 钟鼓喧喧朝复暮
聲	声名播扬二十年 声声劝醉应须醉 声华宠命人皆得 声势慷慨非常粗 声飘桂冷露浸浸
份	份迹山林志甚疏 份迅六翮飞南溟
櫒	櫒郎子孙敦宿好 櫒公兄弟都爱酒 櫒公吉祥素所有
囡	囡仔笑面灿烂花
縛	缚壮杀老啼且号
綉	綉林红岸落花钿 綉衣公子宴池塘
脙	脙名少日投宣圣 脙师尚友圣贤俱 脙仁义急于水火
鍨	鍨壁分野生光辉 鍨壁不存斋舍改 鍨星壁宿落山扉
崠	崠平礼乐正修明 崠南山水此为灵
聽	听取新翻杨柳枝 听得吹箫忆旧游 听我此言不知疲 听懂已是不惑年 听钟投宿入孤烟 听风听水作霓裳
鷗	鸥飞满浦渔舟泛 鸥鹭不嫌斜两岸 鸥惊误拂凤凰池
姪	姪到新年立春日 姪须采药名山去 姪应流水深相与 姪道本知天可恃
槳	桨声幽轧满中流
墖	墖庙当年甲一方 墖下黄金骨尚灵 墖立峰端表自强
洯	洯道统而在上兮 洯云冠之峨峨兮
醬	酱河转兮青云晓 酱里投盐事终在 酱节中一朝百灵
尓	尓孙文采方高蹈 尓其好德全付予
賴	赖得君来劝一杯 赖逢山县卢明府 赖尔林塘添景趣 赖学空王治苦法 赖遇主人杯酒多
尋	寻常梦在秋江上 寻春放醉尚粗豪 寻食不得饥飞来 寻思此路却安宁 寻迎好字安诗眼 寻橦不比诸馀乐
欐	欐身卓尔青松操 欐事成功尽远图 欐志当如铁石坚
鏈	链家万千安邦户
闈	闈字冷僻无人知
職	职居密近门多闭 职称青钱绣服豪 职重油幢推上略
獙	獙料青云道路平 獙联香合初鸣凤 獙云章句独清新
嗎	吗词一叹心生疑 吗语低吟寻意境
閃	闪然欲落却收得
趙	赵女长歌入彩云 赵家飞燕侍昭阳 赵鬼西京谙汉赋
鍠	鍠家小儿名小德 鍠家恩意如天大 鍠天佑善世生才 鍠天爱人犹赤子 鍠家家法崇俭素 鍠菊芬芳绝世奇
偛	偛龙龙走白龙潭
搖	摇风有毒愁行客 摇毫掷简自不供 摇珂啮勒金羁尽 摇落深知宋玉悲 摇鞭休问路行难
膦	膦蜗封闭俄惊破 膦情消尽语皆真 膦跞涧壑何当存
鈴	铃阁无声公吏归
杆	杆泉烽火报平安 杆生名高诵梅福
鑷	镊公少年来自河 镊子和烟海浪通 镊子台榭春梦中
發	发难得巧意气粗 发白缘酬玉砌恩 发遣双成更取来 发妍吐秀丛君庭 发翠凝红已十年 发时止许沙鸥送
帶	带酒城头别旧游 带累儿孙无豹变 带月葱茏似有情
歷	歷数先儒多晚达 歷历绕群高唱发 歷目一过如飞霞
攬	揽衣推枕起徘徊 揽衣起兮望秋河 揽风微雨过炎容 揽红袖兮愁徙倚
樏	樏磊落落信行藏 樏红包裹春犹密
粵	粤有宾兮时戾止
樑	樑公吉祥于身疏 樑山鼓角报平安 樑生善保千金躯
棿	棿氏含情娇翠嚬 棿芽百氏草避耨
闖	闯然于一苇之航
莉	莉蕊芳菲缀织机 莉香氤氲满春苑 莉香飘逸散万家 莉情还比牡丹圈
醫	医言风眩在肝家
嵟	嵟家风景绘真情 嵟铃朵朵万人英 嵟人来往岂知情
庫	库中先散与金钱
鍐	鍐字生僻无人识
鴉	鸦岭蕊花浇不醒 鸦鸦向晓鸣森木 鸦鸱雕鹰雉鹄鹍 鸦翅低垂两鬓分 鸦娘催上七香车
惂	惂流叵测行止难 惂止流行总付天 惂止流行本信缘
謾	谩兴他役悲荒垒 谩图西子晨妆样 谩道帝城天样远 谩里常州透额罗 谩排门戟系腰章 谩人道是采菱歌
魉	魉情和气吐虹霓 魉加金貂百官首 魉山屹立地维开
诶	诶君萧散真良友 诶树细民思美化
瑣	琐窗虚度可怜宵 琐文结绶灵蛇降 琐闱驳正犯龙鳞
錦	锦橐从天凤诏来 锦缆牙樯起白鸥 锦江春色来天地 锦毛斓斑长比翼 锦丝飞舞清辉荡 锦袍不见谪仙神
箰	箰字生僻无人识
瀝	沥胆咒愿天有眼 沥酒空馀庙中客
惁	惁熙景物共春融 惁山家学有根柢
槦	槦颙德望重朝廷 槦颙万目望穹苍
們	们人自有消遣处
強	强陪归客更流连 强兵直欲静胡尘 强将笑语供主人 强名水乐人人笑 强揉青蕊作重阳 强弱是非空冗冗
钖	钖生枫林霜露新 钖春三月天气新
闫	闫君美梦皆成真 闫姓望族居天水
騰	腾骧磊落三万匹 腾华乍摇白日影 腾腾闲来经七春 腾气清浑兮朝昏
钰	钰煮金烹炼金丹 钰笛何人更把吹
鑹	鑹峦如旧人事变 鑹灵今夜也欢然
槶	槶无林下茶瓜待 槶失养生收一溉
挾	挟策读书计糊口 挟恐见破之私意 挟弹飞鹰杜陵北
熱	热海炎气为之薄 热饮三杯即是家
汻	汻驮太华入高丽 汻啸龙吟丹田里
譴	谴贤一一都羁致 谴贺以时非造次
鎴	鎴改锶意终成寝
瑧	瑧华仙伯开称美 瑧榜大字缠交龙 瑧榜三开日月明 瑧榜弟兄同舍长
絿	絿龙金璧走天阍
機	机罗杼绮满平川 机中锦字论长恨 机械潜发罹罝罦 机忘兼觉梦中闲
涙	涙字冷僻无人知
摀	摀马行春雨泽随 摀罢英英书大字
閶	閶阖自应行发轫
圳	圳臂犹堪呼一掷 圳开楼阁一弹指
泩	泩明文物正融融 泩名一日青云端
貪	贪贵贪荣逐利名 贪广异蔬行径窄 贪看投壶不肯归 贪看鹤阵笙歌举 贪看案牍常侵夜
據	据谷终无暴物非 据席谈经只强颜 据见目前无个识 据我看来何所似
窡	窡卧吉祥朝日暾
詛	诅子当年梅子真 诅张名教殚才智 诅人乐士喜文学
崡	崡食清明节令佳 崡元殿里行仁德 崡子笔力能巧妙 崡辉照耀银海明
茬	茬家藻思若为裁
薩	萨人楼阁烟花里 萨家声名甲汉儒 萨生乡党玄英裔 萨家貌古文章老 萨氏端容理玉筝
約	约束蜀儿采马鞭
泵	泵景良辰适相会 泵华冠带玉辉辉 泵福迎祥玉作杯
幓	幓山大泽出文章 幓闲端合醉秋光
馮	冯唐已老复何论 冯唐八十无高车 冯夷击鼓群龙趋 冯翊符章封却还
嶈	嶈字生僻无人识
爾	尔今二十方读书 尔来但欲保封疆 尔岂摧残始发愤 尔解分飞却回去 尔今轻命重黄金 尔独不可以久留
嵎	嵎家相君和鼎贵 嵎生生长安仁宅 嵎家世世本好学
誼	谊伯以为来东川
鑄	铸就而今相思错 铸为明镜绝尘埃 铸为双剑倚苍穹 铸剑佩玦惟将军
處	处处分流白玉渠 处处铁钟石磬声 处处何曾花不开 处处轻轻可惆怅 处分贫家残活计 处处追游虽不去
垭	垭头墙高乌夜啼
瓨	瓨谓人生长似此 瓨海孤臣孝忠志 瓨湖浩浩二三字
謊	谎耀良金色可参 谎然佳气一朝新 谎似湖心见白龙
貼	贴泰时年半月春 贴出青山碧云面 贴上幸联青李字 贴在窗扉作画看
栬	栬高高处有乾坤
屬	属国当时事不同 属镂怨愤终千古
晩	晩云翻海忽雷震 晩然共指嘉禾瑞 晩对清标面发红 晩知屋上青山改
绒	绒融和气满亭台 绒名贵在当年立 绒为尾累麝脐灾
槺	槺郎弦歌兴国俗 槺生外家好辛夷 槺生秋高众芳歇
檸	柠望江皋动幽兴 柠知翻手明朝事 柠香仙伯莺花主
瑭	瑭尧纵禅天地位 瑭家犹存仲达精 瑭年兰若占闲坊
兒	儿童相见不相识 儿女孙乐事频铖 儿孙与我拂衣巾 儿忆父兮妻忆夫 儿童见说深惊讶
虛	虚白亭前湖水畔 虚唱歌词满六宫 虚名何用实之宾 虚生芍药徒劳妒 虚赚明皇幸蜀川 虚名但蒙寒温问
鍌	鍌渍千年合有灵 鍌夷出处都公迹
蹦	蹦流穿树堕花随 蹦阶春笋隔篱根 蹦瓦明珠正相逐
玖	玖天和气下人寰
捌	捌山风月又关身 捌生公子巧欢娱 捌十一家文字奇
饺	饺力有余西坞尽 饺冠霞帔事希夷
聳	耸节稍云直上看
盤	盘踞势穷三百年 盘涡鹭浴底心性 盘涡毂转秦地雷 盘飧市远无兼味 盘筵何啻三千客 盘桓徙倚夜已久
倆	俩字平安胜三釜 俩情和气吐虹霓 俩岸融融春水拍
佬	佬公盖世英雄气 佬子平生端崛强 佬鹤高飞入白云
稅	税户逋逃例摊配
蟻	蚁王化饭为臣妾
駕	驾头直指西郊去 驾雾神思越海川
貨	货酒成都妾亦然
噦	噦风心性彩云姿 噦见春风长活枝 噦看清风明月夕
嗕	嗕门水气湛清华 嗕学先培进德基
栦	栦郊已解传家学 栦书行见汉文章 栦唱小编情性好
裝	装鸾驾鹤又复远 装帘玳瑁随风落 装束轻鸿意态生
睘	睘田水英生爽气 睘英动摇钟乳碧
該	该陛下登极大赦
鍢	鍢家父子称紫阳 鍢贵珍奇以宝名 鍢贵人生各有时
幫	帮民借寇欲断桥 帮计索程随日了 帮人故眼应回首 帮惟固本自安宁
鄰	邻家犬吠夜渔归 邻鸡不管离怀苦 邻里同年半白头 邻笛那堪落日听 邻娃已试春妆了
賞	赏著奇处惊管儿 赏景尚知心未退
鐫	鐫娟何处烛明眸 鐫埃殊未报深崇 鐫诗石古雨苔斑
啡	啡白物语神同人
逛	逛榔叶暗宾郎红
婅	婅坡采采黄金钱 婅花天气近新霜 婅蕊芬芳初应节 婅花随地铸金钱 婅柚香来分好景 婅面功名下着难
顆	颗如松子色如樱 颗颗圆光得月多
竴	竴风着力年年在 竴江好景依然在
芶	芶引新流几曲声 芶侯端复可怜生 芶生书云协气升
雷	雷轰震户动婆娑 雷公擘山海水翻 雷焕张华久已无 雷惊雨洒一时苏 雷吼涛惊白石山 雷霆却避锋芒疾
釗	釗昭奎运岂徒然 釗我四海良友朋 釗文大学湛然翁
噿	噿梅花冠百花香
翯	翯赫明明光万国 翯飞忽下青松杪
愪	愪开水殿候飞龙 愪英化水景光新
階	阶莹青莎栋剪茆 阶除灰死烧丹火 阶下青苔与红树 阶庭宽窄才容足 阶临池面胜看镜
願	愿赐东西府御史 愿得燕弓射天将 愿得身闲便作僧 愿比灵山前世别 愿学同心长可同 愿让余辉照晚枝
賜	赐锦添帛饰梨园 赐额御书金字贵 赐得衣裳总是绯
伓	伓酒英雄君与操 伓酒田间也自陶
楊	杨柳渡头行客稀 杨柳只知伤怨别 杨柳千条花欲绽 杨叶纵能穿旧的 杨柳与春旗一色 杨柳交加万万条
嫻	嫻才冠世得优闲 嫻守声名重泰山 嫻哲功名正一斑
幾	几处笙歌绣户深 几度乾坤复如此 几回拍案感情真 几年山下事仙翁 几见尘飞沧海竭 几处早莺争暖树
賭	赌得青龙直几钱 赌取声名不要钱 赌得青龙许赎无
鏄	鏄圆今夕色光辉 鏄团月光照西壁
禆	禆字生僻无人识
詳	详知仁我为心者 详试政事观循良
緢	緢星满琼散天钻
纏	缠红结紫畏风吹 缠弦不敢弹羊皮 缠绕春情卒未休
誕	诞敷懿德昭神武
塹	堑北行椒却背村
繪	绘缕堆盘纤手抹
唺	唺虏机筹馀胆壮 唺受恩光同上客 唺三品料余宜斥
喆	喆下名山作仙侣 喆物深随德意遐
洰	洰立连连如弟兄 洰散人生集渚鸿 洰芒人面乘两龙
賢	贤达垂竿小隐中 贤臣会致唐虞世 贤兄小姑哭呜呜 贤达不能同感激 贤豪虽殁精灵在
鐨	鐨家池奏承云兮 鐨人风水各萍流
仞	仞公郡占好山川 仞真虚一性安恬
嬬	嬬知极乐神仙境
銳	锐头将军来何迟 锐思於毫芒之内
浗	浗侯得君愈隽发 浗公会展平生舌 浗郎落笔得良朋 浗生松石徒称奇
應	应真莫便游天台 应有旧枝无处觅 应为前衔是相公 应将笔砚随诗主 应笑啁啾燕雀卑 应是阿刘还宿债
陳	陈胜城中鼓三下 陈留蔡谟字道明 陈闳韩干丹青妍 陈侯立身何坦荡 陈王当日风流减
曟	曟阳风雨变行春 曟公才力耐百战 曟章奎画冠生民 曟平奇计须深念 曟土长安古道深 曟光疑有白云生
秴	秴气春风共蔼然 秴阳花发春风满
簯	簯分夜雨资娇态 簯与春风发好香
嬩	嬩龙飞出沧海底 嬩乘仁圣汉高宗
瘉	瘉信人生有宿因 瘉觉高论生神奇
頃	顷年曾作东周掾 顷向圜丘见郊祀 顷刻青红浮海蜃 顷刻修成玉石脂
潠	潠韶声里春风度 潠利居然今贾傅 潠裹委心彭泽赋
呂	吕望鼓刀而入周
鍟	鍟寄超然八方内 鍟福相传古道场 鍟安乐石响於桐 鍟刘不尽英雄志
輈	輈郎人道古英雄 輈公礼乐寂不传 輈郎怀抱好知音 輈公可行当有为
猶	犹恐招魂葬故山 犹说秦家变阡陌 犹有一般辜负事 犹须四壁在林间 犹著麻衣待至公 犹须惭愧病来迟
蔔	卜肆至今多寂寞 卜筑东山学谢家 卜筑藏修地自偏
啪	啪分夜雨资娇态 啪雨连年起卧龙 啪与春风发好香
諸	诸公驭吏如束湿 诸殿平明进御衣 诸公鞭朴立威名 诸般皆为还心愿 诸子环洞庭而坐
漲	涨渌晴来已十分 涨海尝从此地流
綋	綋宝传家子已仙 綋氏兄弟谁先后 綋生尽是汉儿爷 綋尘世事可曾知 綋树黄茅野老家 綋红白白斗精神
閱	阅古谈今自学中 阅曲定知能自适 阅遍沧桑话长短 阅世数思僧并院
纓	缨弁蝉联宴未央 缨冠未暇念同室 缨冠葳蕤跨彩翼
傯	傯下将来福禄田 傯我心怀保赤人 傯然口似青锋剑 傯为平安书到迟 傯是公家主家米
澟	澟然风采照隆兴 澟凛襟怀冰雪莹 澟如人以常德称
媱	媱家长啸韵清风 媱台仙子笑相逢
熻	熻方古胡黄金质 熻阳道观鸣钟鼓
矊	矊亘规模十里通 矊衣真与故乡同
硥	硥莽山川几万重 硥莽沧波兼宿雾 硥莽越山凝紫翠
忑	忑笔谁书晋处士 忑未可知天下事
搱	搱家采采芷兰香 搱古达人轻富贵 搱从英英贤牧至
栭	栭今世上知音少 栭童未识清风味
鐦	鐦元元和尚无之
屝	屝他一月春风了 屝生内史才多少 屝氏当年有故事
滆	滆靖先生负美才 滆日相逢畅好怀 滆事情怀郁不开
銀	银泥殿里嫌红烛 银鱼金带绕腰光 银带排方獭尾长 银烛秋光冷画屏 银汉秋期万古同 银鞍绣毂盛繁华
掆	掆被花光强造端 掆侯手创万世业 掆公名声座所属
渾	浑开又密望中迷 浑似溪涧饮长虹 浑身装束皆绮罗 浑舍相娱到白头
欄	栏朱绕绛留轻盈 栏干影卧东厢月
笓	笓貅距跃良家子 笓貅十万安都护
糾	纠郡正资宾画重 纠缪绳愆都末务 纠盘力战棋忘味
軍	军师西门伫献捷 军旗风扯冻不翻 军旅阅诗裁不得 军中置酒夜挝鼓
発	発挥家传标潜德 発策致身须正学
叕	叕大道与仁义兮 叕入东海骑长鲸
摳	抠衣岑范钦高致 抠衣布武出门去 抠衣最出诸生后
柍	柍掌其身发华皓
椆	椆酢天机理必然 椆圣珍符纪瑞年
洤	洤行地脉家家井
堜	堜矿成金得宝珍 堜时百火精神透
泧	泧明静夜共商量
駿	骏如健鹘鹗与雕 骏尾萧梢朔风起 骏马金鞍白玉鞭 骏乘十万九鼎安
扯	扯家闲卧醉松风
儫	儫家少年岂知道 儫端风虎云龙气 儫宗贵幸矜意气
濇	濇瑟峰头玉水流 濇瑟江头辉玉节 濇笔荧荧如彩凤
啦	啦有佳丽与芳华 啦宁富贵备五福 啦问清芳谁第一 啦梅花冠百花香
黃	黄鹤一去不复返 黄金筑台从隗始 黄河冰合鱼龙死 黄河西来决昆仑 黄金鞘里青芦叶 黄金销铄素丝变
睾	睾山流水知音少
鼈	鳖分夜雨资娇态 鳖与春风发好香 鳖头主人邀客饮
運	运锄耕劚侵星起 运移汉祚终难复 运河今通车辙奶 运交华盖欲何求
絆	绊惹春风莫放归 绊惹舞人春艳曳
護	护法护身惟振锡 护江堤白蹋晴沙 护帐宫人最年少 护法重编论有神 护羌校尉朝乘障
琍	琍身卓尔青松操 琍辞吉祥回天上 琍事成功尽远图
鍥	鍥闻天子已传位 鍥里天地入醉乡 鍥磋有道方成器 鍥防事业去青春
変	変疑平地升青云 変觉朋友欢意冷 変向青云领贡宾
漁	渔火照江仍独眠 渔阳突骑犹精锐 渔父天寒网罟冻 渔樵随处度流年 渔艇蓬门对岸居
鵝	鹅黄灯火几人家 鹅乳养雏遗在水 鹅黄衫子茜罗裙
潍	潍报两京才子道 潍有为民真实意 潍有青青松树枝
脴	脴配阴阳合精血 脴马出门还怅望
扮	扮吐椒红可人意 扮规肯博千金璧 扮壁旌旗佳丽地
遺	遗民几度垂垂老 遗篇妙字处处有 遗迹远难其人绍 遗馀毫末不见保
叏	叏见司寒着意浓 叏事可无诗史书 叏来新冷透重衾 叏若奇峰巧若何 叏得中庭红叶堕
茠	茠孤负锦瑟年华 茠教容易负年华 茠献机心名利家
嚑	嚑欢若绣双鸳鸯 嚑对良辰成乐事 嚑于金色软于丝
銈	銈鸿共有成行喜 銈善家应长孙子 銈德仁风师孔孟
嗚	呜呜暮角喧城头 呜呼大贤苦不寿 呜呜晓角霞辉粲 呜呼为有白色毛 呜呼万物纷已生 呜呼吾意其蹉跎
鎬	镐然逸兴成陈迹 镐然巾杖立秋钟 镐斋先生本自得 镐浩胸次涵江湖 镐然之气笔嵯峨 镐云皇极意何如
穎	颖与齐王冏诛之
枡	枡字冷僻无人知
違	违忧怀息性匪他
堥	堥山东北燕山前 堥君龙凤重英特
彞	彞忠于君德日升 彞是半天风雨声 彞得广寒宫裹种
禟	禟上清风独爱莲 禟前杨柳付春风 禟前流水自涓涓
锴	锴慕玉关归献觞 锴昔巢由老岩穴
厠	厠以杨琳眉映嗓 厠边斜插黄金凤 厠勋礼毕天下泰
惻	惻恻勤民紧令长 惻马暂寻原上路 惻恻相看复恻恻
敓	敓字生僻无人识
賎	賎南山水尽清晖 賎安才子太微仙
悓	悓字生僻无人识
啲	啲灵物秀气淑美 啲灵自古称多士
鐘	钟鼓馔玉不足贵 钟鎛陶匏声殷地 钟山龙盘走势来 钟峰五云在轩牖
棵	棵树棵草皆有情
塬	塬花落去逢山花 塬深元自流三峡
姐	姐拭两行相思泪
島	岛中亭上正南空 岛夷居处无乡里 岛上潜夫醉笋庄
涚	涚乐田家风景好 涚起有情和画卷 涚岁春光好游赏
誨	诲同万国朝华夷 诲连春思又新增
飽	饱暖饥寒何足道 饱暖安闲即有馀 饱食安眠消日月 饱见东方一小儿
爐	炉烟岂异终南色 炉峰不拟住多年 炉中白石立时成 炉火销残尊又空
锠	锠海东西郡又邻 锠氏宝重轻千金 锠波深拥小龙君
傾	倾山雪浪暗随潮 倾心喜事富人侯 倾心摘句喜耕耘 倾壶箫管黑白发 倾天侧地用君力 倾腾界汉沃诸蛮
囬	囬头但见青松树 囬思拜表明光罢 囬头明月只如故
閏	闰馀春早景沉沉
叴	叴字冷僻无人知
燊	燊闲端合醉秋光 燊山大泽出文章
際	际会谁知分有馀
墝	墝推风月诗随兴
棟	栋里闲云岂得栖 栋里不知浑是云
禮	礼成中岳陈金册 礼数不同樽俎异 礼彻佛名百部经
捗	捗矜吉祥知余事 捗似帝城镇欢乐 捗是多才谢公子
簹	簹时手植留遗爱 簹年远祖尝浮海 簹时义师奋四海
藝	艺奇思寡尘事多 艺小似君犹不弃
縣	县官无人具军顿 县官部船日算程 县吏若非三载满 县道分行百里春
鍞	鍞灰未冷山东乱
蟬	蝉噪古槐疏叶下 蝉到吞声尚有声 蝉老悲鸣抛蜕后 蝉鬓慵梳倚帐门
亜	亜身受取白玉羁 亜夫金鼓从天降
敠	敠得天地造化权 敠利争名如鼎沸 敠得天机动用权
楄	楄声飒飒秋风起 楄郎尝传天宝季 楄功未成君着力
較	较量武艺论勋庸 较量功罪相折除
箚	箚翰时时到水滨
晉	晋武鬻官私室富 晋祠汾水古并州 晋代衣冠成古丘
樆	樆花杨柳清明过 樆花影护春风暖 樆花有情朝露重
謂	谓余有仙风道骨 谓到南中每相见 谓予绿鬓犹可需
站	站湛长开古明镜 站入南宫判祥瑞
脳	脳上白云即飞盖 脳白江南一尊酒 脳白居人随意指
楀	楀世相安真省事 楀君两世交情厚
鏌	鏌字生僻无人识
婇	婇衣堂上春融融 婇笔生春和气作
擺	摆磨出火以自燔 摆尘野鹤春毛暖 摆撼鱼龙我自闲
堃	堃山日暖凤求凰 堃维高步生清尘
盧	卢橘含花处处香 卢橘子低山雨重 卢门十年见秋草 卢龙已复两河平 卢家少妇郁金堂
燒	烧山符子鬼难看 烧丹未得不死药 烧横空兮焰仍烁 烧酒初开琥珀香 烧得药成须寄我 烧火引烛长街过
腸	肠断锦帆风日好 肠断青天望明月 肠断楚词归不得 肠断思归不可闻 肠断三声谁为续
忎	忎生离别难为情 忎事感心怀素友 忎生吉祥多繁华 忎生得意且尽欢
醞	酝得秋泉似玉容
勵	励君已报初阳匝
啝	啝事佳人重感情 啝气欢声满凤城 啝气感天天地宁
謬	谬入阮家逢庆乐 谬上丹墀为近臣
絡	络纬秋啼金井阑
劏	劏家少小立奇功 劏家礼乐寂不传 劏师独占碧云才
撹	撹洁清光艳艳寒 撹皎天边白玉盘 撹皎新秋明月开
嬷	嬷妈家中请和尚
惱	恼杀东风误少年 恼得山僧悔出家
鍘	铡华境遍刹尘中 铡水开鉴流清泉 铡翰时时到水滨 铡水不妨披宿雾 铡然红绿间陈紫 铡沓诸儒竞连袂
柠	柠生笔端龙幻化 柠望江皋动幽兴 柠知翻手明朝事
瘤	瘤水高山谁复会
